Date,Prices
39367,2442.12
39370,2421.67
39371,2405.76
39372,2410.22
39373,2408.46
39374,2346.78
39377,2355.74
39378,2376.47
39379,2370.71
39380,2368.43
39381,2401.07
39384,2410.33
39385,2394.81
39386,2423.67
39387,2360.21
39388,2362.21
39391,2350.69
39392,2379.05
39393,2310.41
39394,2309.18
39395,2276.26
39398,2253.53
39399,2319.86
39400,2304.06
39401,2273.73
39402,2285.67
39405,2245.81
39406,2256.02
39407,2220.21
39409,2257.95
39412,2205.49
39413,2238.52
39414,2303.17
39415,2304.43
39416,2322.34
39419,2308.74
39420,2293.65
39421,2329.71
39422,2364.97
39423,2360.79
39426,2378.6
39427,2318.51
39428,2332.85
39429,2335.79
39430,2303.79
39433,2269.24
