Date,SP500ClosedPrices,USTNoteClosedPrices
38317,1753.09,1.3005
38320,1747.34,1.2925
38321,1740.33,1.2905
38322,1766.90,1.2902
38323,1765.37,1.2861
38324,1766.63,1.2993
38327,1765.33,1.3032
38328,1745.84,1.3031
38329,1754.75,1.3122
38330,1764.35,1.3085
38331,1762.51,1.3097
38334,1778.54,1.3103
38335,1785.51,1.3132
38336,1789.14,1.3175
38337,1785.51,1.3079
38338,1772.19,1.3063
38341,1772.87,1.3083
38342,1788.93,1.3101
38343,1795.66,1.3076
38344,1796.49,1.3057
38348,1788.76,1.2997
38349,1801.58,1.3002
38350,1801.71,1.2973
38351,1801.98,1.3040
38352,1799.55,1.3078
38355,1784.96,1.3080
38356,1764.30,1.3012
38357,1758.07,1.3027
38358,1764.63,1.3042
38359,1762.12,1.3041
38362,1768.17,1.3039
38363,1757.51,1.3075
38364,1764.72,1.3082
38365,1749.48,1.3145
38366,1759.98,1.3102
38370,1777.04,1.3127
38371,1760.28,1.3144
38372,1746.61,1.3150
38373,1735.43,1.3173
38376,1729.33,1.3198
38377,1736.25,1.3130
38378,1744.72,1.3137
38379,1745.58,1.3121
38380,1740.96,1.3186
38383,1755.68,1.3200
38384,1767.79,1.3192
38385,1773.63,1.3194
38386,1769.26,1.3175
38387,1788.82,1.3253
38390,1786.92,1.3290
38391,1788.16,1.3315
38392,1773.28,1.3327
38393,1780.80,1.3267
38394,1793.54,1.3262
38397,1794.98,1.3280
38398,1801.06,1.3257
38399,1801.59,1.3206
38400,1787.41,1.3187
38401,1788.65,1.3111
38405,1762.76,1.3092
38406,1772.76,1.3118
38407,1787.34,1.3095
38408,1804.17,1.3111
38411,1792.63,1.3019
38412,1802.79,1.3025
38413,1802.92,1.3016
38414,1803.51,1.3014
38415,1820.88,1.3076
38418,1825.70,1.3089
38419,1817.12,1.3016
38420,1798.79,1.2902
38421,1802.20,1.2945
38422,1789.01,1.2884
38425,1799.14,1.2919
38426,1785.61,1.2890
38427,1771.35,1.2923
38428,1774.55,1.2958
38429,1773.72,1.2927
38432,1764.98,1.2916
38433,1747.03,1.2822
38434,1748.28,1.2864
38435,1746.62,1.2859
38439,1750.89,1.2826
38440,1737.94,1.2880
38441,1762.09,1.2908
38442,1760.89,1.2981
38443,1749.45,1.3014
38446,1754.43,1.3012
38447,1762.32,1.3003
38448,1766.69,1.3051
38449,1777.35,1.2992
38450,1762.52,1.3004
38453,1762.56,1.3050
38454,1772.44,1.3133
